name,price,discount
AILYONS FK-0301 Stainless Steel 1.8L Electric Kettle-Black,KSh 899,18%
Annov 7-Speed Portable Hand Mixer,KSh 659,45%
AILYONS Quality Dry Iron Box With Titanium Teflon Nonstick Soleplate,"KSh 1,140",24%
AILYONS HD-199A Electric Dry Iron Silver & Black,KSh 959,44%
AILYONS 2.2 LITRES LUXURY ELECTRIC KETTLE HEATER JUG,"KSh 1,320",12%
Nunix Table Top Double Burner Gas Stove Cooker + Pipe & Regulator,"KSh 2,499",50%
Generic Electric Cooker / Single Spiral Coil Hotplate,KSh 945,44%
4you Cordless Electric Kettle 2 Litres With FREE Extension Cable,"KSh 1,290",39%
AILYONS Electric Dry Iron Box,"KSh 1,048",10%
AILYONS GS013 Stainless Steel Table Top Double Burner Gas Cooker,"KSh 2,099",32%
Ramtons RM/591- 3LT Cordless Kettle,"KSh 2,000",26%
"VON VSKL17MNK Cordless Kettle, 1.7L - Black","KSh 1,645",18%
"AILYONS GS014-1, 2 Burner Glass Top & Infrared Double Burner","KSh 2,699",18%
4you 1500W 2.0L Electric Kettle 360⁰ Water Heater Boiler Jug,"KSh 1,050",19%
Nunix Table Top Double Burner Gas Stove Cooker + Pipe & Regulator,"KSh 2,499",50%
Generic PORTABLE USB RECHARGEABLE JUICER CUP Purple,"KSh 1,067",18%
"Ramtons RM/458 - Digital Glass Microwave, 700W - 20L -Black & Silver","KSh 10,300",6%
"Roch RGC-307TT, 3-Burner Automatic Gas Cooker - Silver","KSh 2,799",44%
AILYONS Electric Kettle Water Heater & Boiler Jug,KSh 990,18%
AILYONS Electric Stainless Steel Automatic Kettle+ Dry Iron Box,"KSh 1,850",9%
Nunix Electric Hand Mixer Whisk Egg Beater Cake Baking Mixer,KSh 799,27%
AILYONS 1000W Electric Dry Iron Box Plus Free 4-Way Extension,"KSh 1,290",14%
Neelux High Quality Mosquito Killer Lamp 20 Watt -Energy Saving,KSh 499,45%
Bruhm BKW 18PB - 1.8L Cordless Kettle - White & Black,"KSh 1,599",32%
Annov 2L Electric Automatic Kettle   Spoon+Fork,"KSh 1,099",27%
Nunix Powerful Blender 2 In 1 With Grinder Machine 1.5L,"KSh 2,494",32%
Scarlett Steam Iron Box With FREE 2L Automatic Electric Water Kettle,"KSh 1,999",20%
Nunix Glass Table Top Double Burner Gas Stove + Pipe & Regulator,"KSh 3,439",23%
Ramtons RM/579- Blender +Mill 1.5 Liters 2 Speed,"KSh 3,800",18%
Redberry Stainless Steel Kettle - 1.8L.,KSh 995,49%
AILYONS 1500W Automatic Electric Cordless Kettle + A FREE Travel Mug,"KSh 1,320",18%
"Sokany 4500W Commercial Grade Blender,Food Processor-BPA 2L Jar","KSh 4,638",48%
Nunix Durable High Quality Motor 2 In 1 Blender,"KSh 2,295",43%
"Roch RMW-20PX9-B (B) Microwave Oven, 700W, 20L - Black","KSh 8,199",37%
AILYONS 2.2 Litres Automatic Water Heater & Boiler Electric Kettle,"KSh 1,397",13%
Philips Dry Iron BOX 1000W - Aluminum Soleplate,"KSh 2,290",35%
"VON VAMS-20MGX - Manual Microwave Oven, Solo - 20L - Black","KSh 9,450",10%
Generic Electric Cooker / Single Spiral Coil Hotplate,KSh 990,45%
Nunix Free Standing 4 Gas Burner Cooker With Oven,"KSh 20,250",45%
Ramtons RG/544 - Stainless Steel Table Top 2 Burner Gas Cooker,"KSh 3,800",18%
